,id,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL,unique ID
bs2,240,The Family House Restaurant,,,,,,,,0117 955 9202,,51.4594053,-2.5546706,No,Yes,Restaurant,4.8,19 reviews,,11 Photos,https://lh5.googleusercontent.com/p/AF1QipOIIIo7txFSZEycka2ptRHjy2Htos5FkD8oMzhD=w408-h433-k-no,,12–8pm,12–8pm,12–8pm,12–8pm,12–8pm,11am–8pm,11am–8pm,"https://www.google.com/maps/place/The+Family+House+Restaurant/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718f0b3e61641d:0x36cd6175cf88185c!8m2!3d51.4594053!4d-2.5546706?hl=en",The Family House Restaurant51.4594053-2.5546706
bs2,239,Pret A Manger,"29-30 Queens Rd, Bristol BS8 1QE",,29-30 Queens Rd,Bristol,BS8 1QE,F94V+7W Bristol,pret.co.uk,0117 929 3885,"press@pret.com,newbusiness.enquiries@pret.com",51.4557098,-2.6052143,No,Yes,Sandwich shop,4.1,131 reviews,,28 Photos,https://lh5.googleusercontent.com/p/AF1QipNmsm-adISrVRFN28_jAQjF-oKULdFj6xy5M-Vz=w408-h544-k-no,,7:30am–6pm,7:30am–6pm,7:30am–6pm,7:30am–6pm,7:30am–6pm,8:30am–5pm,9am–5pm,"https://www.google.com/maps/place/Pret+A+Manger/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718ddaf2d5e65d:0x2042ee20ca725432!8m2!3d51.4557098!4d-2.6052143?hl=en",Pret A Manger51.4557098-2.6052143
bs2,238,Rocotillos,"1 Queens Rd, Bristol BS8 1EZ",,1 Queens Rd,Bristol,BS8 1EZ,F94V+9C Bristol,rocotillos.com,0117 929 7207,info@rocotillos.com,51.455934,-2.606381,No,Yes,Cafe,4.3,313 reviews,,76+ Photos,https://lh5.googleusercontent.com/p/AF1QipNYovqjupsx4Spp7F8wkTIHw1ZkaLFNqwZkpLUb=w408-h229-k-no,,8am–6pm,8am–6pm,8am–6pm,8am–6pm,8am–6pm,8am–6pm,10am–5pm,"https://www.google.com/maps/place/Rocotillos/@51.455934,-2.6151357,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dda6717b03d:0xb5314525075c1f71!8m2!3d51.455934!4d-2.606381?hl=en",Rocotillos51.455934-2.606381
bs2,237,West Street Kitchen,"55 West St, Bristol BS2 0BZ",,55 West St,Bristol,BS2 0BZ,FC4C+VV Bristol,weststreetkitchen.co.uk,,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com,51.4572205,-2.5778745,No,Yes,Cafe,4.9,104 reviews,,110+ Photos,https://lh5.googleusercontent.com/p/AF1QipNU3SxZawdOA3UmBFDKeOfgVg5dOP3LdmIBzWoq=w408-h229-k-no,,11am–3pm,11am–9pm,11am–9pm,11am–9pm,11am–9pm,10am–9pm,Closed,"https://www.google.com/maps/place/West+Street+Kitchen/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e6f3209a539:0x58efba51dc8b48da!8m2!3d51.4572205!4d-2.5778745?hl=en",West Street Kitchen51.4572205-2.5778745
bs2,236,Royce Rolls Cafe,"Wine St, Bristol BS1 1JQ",,Wine St,Bristol,BS1 1JQ,FC34+PJ Bristol,facebook.com,07774 111463,,51.4543321,-2.5933775,No,Yes,Cafe,4.3,23 reviews,,15 Photos,https://lh5.googleusercontent.com/p/AF1QipOLnExKQMoTLlurcr-Zd1fTgy6A6QylqOXddq5N=w408-h306-k-no,,9:30am–5pm,9:30am–5pm,9:30am–5pm,9:30am–5pm,9:30am–5pm,9:30am–5pm,10am–5pm,"https://www.google.com/maps/place/Royce+Rolls+Cafe/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e7828885bc1:0xcdfcca7d49ebe6a2!8m2!3d51.4543321!4d-2.5933775?hl=en",Royce Rolls Cafe51.4543321-2.5933775
bs2,235,Centre Cafe Lounge,"4, 12 Baldwin St, Bristol BS1 1SA",4,12 Baldwin St,Bristol,BS1 1SA,FC33+88 Bristol,,0117 922 5293,,51.453374,-2.596687,No,Yes,Cafe,4.2,146 reviews,,102+ Photos,https://lh5.googleusercontent.com/p/AF1QipPdC1-SH1cWAuI9ztKceTEhwgzBgSrrwlaJLv0=w408-h272-k-no,,7am–3pm,7am–3pm,7am–3pm,7am–3pm,7am–3pm,8am–3pm,9am–3pm,"https://www.google.com/maps/place/Centre+Cafe+Lounge/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd7c2441c5d:0x9e0c8dcea207a0d5!8m2!3d51.453374!4d-2.596687?hl=en",Centre Cafe Lounge51.453374-2.596687
bs2,234,Giggling Squid,"34 Princess Victoria St, Bristol BS8 4BZ",,34 Princess Victoria St,Bristol,BS8 4BZ,F93H+QJ Bristol,gigglingsquid.com,0117 973 2543,,51.4544807,-2.6209142,No,Yes,Thai restaurant,4.4,345 reviews,,152+ Photos,https://lh5.googleusercontent.com/p/AF1QipMJponZjuvTLkXoRo7zloQtNdODaxxTPWB2vpy_=w408-h306-k-no,,12–10pm,12–10pm,12–10pm,12–10pm,12–10:30pm,12–10:30pm,12–9:30pm,"https://www.google.com/maps/place/Giggling+Squid/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dc7ff46d627:0xa75d0125cda98dfc!8m2!3d51.4544807!4d-2.6209142?hl=en",Giggling Squid51.4544807-2.6209142
bs2,233,Birch,"47 Raleigh Rd, Bristol BS3 1QS",,47 Raleigh Rd,Bristol,BS3 1QS,C9VR+M2 Bristol,birchbristol.co,0117 902 8326,info@birchbristol.co.uk,51.4441925,-2.6099434,No,Yes,Restaurant,4.8,115 reviews,,37 Photos,https://lh5.googleusercontent.com/p/AF1QipOJvniFo9NbyM_mX82gPmovZdSIumRzRPuL0XI=w408-h272-k-no,,Closed,6–10pm,6–10pm,6–10pm,6–10pm,"12–3pm, 6–10pm",12–4pm,"https://www.google.com/maps/place/Birch/@51.4441925,-2.6186981,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dcd2bba0cb7:0xc44429f9c5dc271c!8m2!3d51.4441925!4d-2.6099434?hl=en",Birch51.4441925-2.6099434
bs2,232,Joy Raj Restaurant,"31 Regent St, Bristol BS8 4HR",,31 Regent St,Bristol,BS8 4HR,F93J+RC Bristol,joyraj.co.uk,0117 983 8101,"hello@joyraj.co.uk,hello@joyrajbristol.com",51.4545174,-2.6188849,No,Yes,Indian restaurant,4.4,93 reviews,,41+ Photos,https://lh5.googleusercontent.com/p/AF1QipPl1oyDZp6LwPcFwqDvlLIPqvL2RAwZMie_g2oY=w408-h306-k-no,,5:30–11pm,Closed,5:30–11pm,5:30–11pm,5:30–11:30pm,5:30–11:30pm,5:30–11pm,"https://www.google.com/maps/place/Joy+Raj+Restaurant/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dc7e09a1e73:0x1df5b9a172ff1fb8!8m2!3d51.4545174!4d-2.6188849?hl=en",Joy Raj Restaurant51.4545174-2.6188849
bs2,231,Fujiyama Japanese Restaurant,"21 Regent St, Bristol BS8 4HW",,21 Regent St,Bristol,BS8 4HW,F93J+JM Bristol,fujiyamabristol.co.uk,0117 907 7840,,51.454041,-2.618344,Yes,Yes,Japanese restaurant,4.5,136 reviews,,107+ Photos,https://lh5.googleusercontent.com/p/AF1QipNpucsi-Zt4p_aJTYw3d-vbwCzQ2aM8PJDN_WyJ=w408-h306-k-no,,12–10:30pm,Closed,12–10:30pm,12–10:30pm,12–10:30pm,12–10:30pm,12–10:30pm,"https://www.google.com/maps/place/Fujiyama+Japanese+Restaurant/@51.454041,-2.6270987,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dc876c6c067:0x7003ff4ba710133b!8m2!3d51.454041!4d-2.618344?hl=en",Fujiyama Japanese Restaurant51.454041-2.618344
bs2,229,Sea Pearl Fish And Chips,"73 East St, Bristol BS3 4HB",,73 East St,Bristol,BS3 4HB,CCR3+P5 Bristol,seapearlfishandchips.co.uk,0117 953 2792,info@seapearlfishandchips.co.uk,51.4418205,-2.5970417,No,Yes,Fish & chips shop,4.5,111 reviews,,56 Photos,https://lh5.googleusercontent.com/p/AF1QipMaJTLP-xng9Apg0kuP9DD6X3h8574Vpg8hZIGe=w408-h306-k-no,,"11am–3pm, 5–9pm","11am–3pm, 5–9pm","11am–3pm, 5–9pm","11am–3pm, 5–9pm",11am–9pm,11am–9pm,Closed,"https://www.google.com/maps/place/Sea+Pearl+Fish+And+Chips/@51.4418205,-2.6057964,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718c2af468c609:0xed32dc4812f8fde6!8m2!3d51.4418205!4d-2.5970417?hl=en",Sea Pearl Fish And Chips51.4418205-2.5970417
bs2,228,Wellbourne,"25 The Mall, Bristol BS8 4JG",,25 The Mall,Bristol,BS8 4JG,F94H+78 Bristol,,0117 239 0683,,51.4557451,-2.6216363,No,Yes,Restaurant,4.7,53 reviews,,49 Photos,https://lh5.googleusercontent.com/p/AF1QipOK2LjhGPFoZ6RVa5OMETZmtZqkrD8a8WSTuGKp=w408-h272-k-no,,12–10pm,12–10pm,12–10pm,12–10pm,12–11pm,10am–11pm,10am–10pm,"https://www.google.com/maps/place/Wellbourne/@51.4557451,-2.630391,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718db86c6437ed:0xd7a70b909448c0dc!8m2!3d51.4557451!4d-2.6216363?hl=en",Wellbourne51.4557451-2.6216363
bs2,227,Friska Victoria Street,"Victoria St, Bristol BS1 6BY",,Victoria St,Bristol,BS1 6BY,FC36+3J Bristol,friskafood.com,0117 929 8971,"hello@friskafood.com,polly@friskafood.com,jerome@friskafood.com,ellie@friskafood.com",51.452636,-2.588463,No,Yes,Cafe,4.3,164 reviews,,43 Photos,https://lh5.googleusercontent.com/p/AF1QipM_IDuCJDtxJttFcmZI3l8HnTbWY7wg9oDBGTmX=w408-h409-k-no,,7am–4pm,7am–4pm,7am–4pm,7am–4pm,7am–4pm,Closed,Closed,"https://www.google.com/maps/place/Friska+Victoria+Street/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e7a344df77d:0x6e703ea846dae862!8m2!3d51.452636!4d-2.588463?hl=en",Friska Victoria Street51.452636-2.588463
bs2,226,Bosco Clifton Village,"29 Regent St, Bristol BS8 4HR",,29 Regent St,Bristol,BS8 4HR,F93J+QF Bristol,boscopizzeria.co.uk,0117 909 2770,info@boscopizzeria.co.uk,51.4544829,-2.6188309,No,Yes,Pizza restaurant,4.6,175 reviews,,37 Photos,https://lh5.googleusercontent.com/p/AF1QipNE6hMggqbDKnc9a-ZM01FAsjGbcefxiCRiy8J_=w408-h287-k-no,,12–10pm,12–10pm,12–10pm,12–10pm,12–10pm,12–10pm,12–10pm,"https://www.google.com/maps/place/Bosco+Clifton+Village/@51.4544829,-2.6275856,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dc7de3217c5:0x24c2952885f906c6!8m2!3d51.4544829!4d-2.6188309?hl=en",Bosco Clifton Village51.4544829-2.6188309
bs2,225,Woky Ko • Cargo,"Unit 7, CARGO, Wapping Wharf, Gaol Ferry Steps, Bristol BS1 6WP","Unit 7,  CARGO",Gaol Ferry Steps,Bristol,BS1 6WP,CCW2+Q9 Bristol,wokyko.com,0117 403 1698,,51.4468796,-2.5991154,Yes,Yes,Restaurant,4.5,208 reviews,,97+ Photos,https://lh5.googleusercontent.com/p/AF1QipNTG4_Im0IyFrSkSJn_5Soa1YqIhe8x_UOSpuhF=w408-h200-k-no-pi-2.9999962-ya169.5-ro-0-fo100,,"11:30am–3pm, 4:30–9pm","11:30am–3pm, 4:30–9pm","11:30am–3pm, 4:30–9pm","11:30am–3pm, 4:30–10pm",11:30am–10pm,11:30am–10pm,11:30am–8pm,"https://www.google.com/maps/place/Woky+Ko+%E2%80%A2+Cargo/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd4f6298e73:0x83ebd3b3307def38!8m2!3d51.4468796!4d-2.5991154?hl=en",Woky Ko • Cargo51.4468796-2.5991154
bs2,224,Prezzo Italian Restaurant Bristol,"Harbourside to Life, Anchor Square, Anchor Rd, Bristol BS1 5DB","Harbourside to Life,  Anchor Square",Anchor Rd,Bristol,BS1 5DB,FC22+68 Bristol,prezzorestaurants.co.uk,0117 909 1926,info@prezzorestaurants.co.uk,51.4505505,-2.5991427,No,Yes,Italian restaurant,3.8,397 reviews,,131+ Photos,https://lh5.googleusercontent.com/p/AF1QipPn8ZBUnYYHI0CyDbCfYbdYDWbTWXhhFRpWvtjO=w408-h272-k-no,,11:30am–10pm,11:30am–10pm,11:30am–10pm,11:30am–10pm,11:30am–11pm,11:30am–11pm,11:30am–10pm,"https://www.google.com/maps/place/Prezzo+Italian+Restaurant+Bristol/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd69230a2eb:0xe6e5ce406b2efeff!8m2!3d51.4505505!4d-2.5991427?hl=en",Prezzo Italian Restaurant Bristol51.4505505-2.5991427
bs2,223,Bandook,"Museum St, Bristol BS1 6ZA",,Museum St,Bristol,BS1 6ZA,CCW2+WM Bristol,bandookkitchen.com,0117 336 2845,"info@bandookkitchen.com,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com,INFO@BANDOOKKITCHEN.COM",51.4473409,-2.5983105,No,Yes,Indian restaurant,4.5,77 reviews,,64+ Photos,https://lh5.googleusercontent.com/p/AF1QipNoC21OpYr4G0Rvr9nKp5QHrU5Lql5sU-zIUL7t=w408-h306-k-no,,Closed,"12–2:30pm, 6–10pm","12–2:30pm, 6–10pm","12–2:30pm, 6–10pm",12–11pm,12–11pm,12–9pm,"https://www.google.com/maps/place/Bandook/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd463486e91:0x41183a00067c88e7!8m2!3d51.4473409!4d-2.5983105?hl=en",Bandook51.4473409-2.5983105
bs2,222,The Thali Restaurant Clifton,"1 Regent St, Bristol BS8 4HW",,1 Regent St,Bristol,BS8 4HW,F93J+CX Bristol,thethalirestaurant.co.uk,0117 974 3793,"office@thethalirestaurant.co.uk,amy@thethalirestaurant.co.uk,press@thethalirestaurant.co.uk",51.45356,-2.6175423,No,Yes,Indian restaurant,4.4,188 reviews,,111+ Photos,https://lh5.googleusercontent.com/p/AF1QipOYrCdrm0Q2YQqSplin0puwjiAcp2p_2HxTk067=w408-h544-k-no,,5–10pm,5–10pm,5–10pm,5–10pm,5–10pm,12–10pm,12–10pm,"https://www.google.com/maps/place/The+Thali+Restaurant+Clifton/@51.45356,-2.626297,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dc8631c7101:0x42e47469631dfaec!8m2!3d51.45356!4d-2.6175423?hl=en",The Thali Restaurant Clifton51.45356-2.6175423
bs2,221,Subway,"Shell, Muller Rd, Bristol BS5 6PU",Shell,Muller Rd,Bristol,BS5 6PU,FCFV+G6 Bristol,subway.co.uk,,,51.473834,-2.5568912,No,No,Hoagie restaurant,3.4,39 reviews,,6 Photos,https://lh5.googleusercontent.com/p/AF1QipNbh11yJgJC0wTbhjPO4LVwltChVD3A3vlSz_RG=w408-h306-k-no,,7am–10pm,7am–10pm,7am–10pm,7am–10pm,7am–10pm,7am–10pm,7am–10pm,"https://www.google.com/maps/place/Subway/@51.473834,-2.5656459,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e31aa3f2e81:0x574ca51f16a2a3b6!8m2!3d51.473834!4d-2.5568912?hl=en",Subway51.473834-2.5568912
bs2,220,Maxin Chicken,"168 Easton Rd, Bristol BS5 0ES",,168 Easton Rd,Bristol,BS5 0ES,FC6M+F5 Bristol,,0117 955 1003,,51.46123,-2.567118,No,Yes,Fried chicken takeaway,2.7,22 reviews,,2 Photos,https://lh5.googleusercontent.com/p/AF1QipNjlq6nRPADqedoShdjwi61DvQwA8PiDC3WATdY=w408-h229-k-no,,9am–2am,9am–2am,9am–2am,9am–2am,9am–2am,9am–2am,9am–2am,"https://www.google.com/maps/place/Maxin+Chicken/@51.46123,-2.5758727,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e414f12e36b:0x4884363b703e8995!8m2!3d51.46123!4d-2.567118?hl=en",Maxin Chicken51.46123-2.567118
bs2,219,The Pump House,"Merchants Rd, Hotwells, Bristol BS8 4PZ",Merchants Rd,Hotwells,Bristol,BS8 4PZ,C9XJ+8Q Bristol,the-pumphouse.com,0117 927 2229,info@the-pumphouse.com,51.4483205,-2.6180507,No,Yes,Pub,4.1,626 reviews,,239+ Photos,https://lh5.googleusercontent.com/p/AF1QipPeZynwO1UMLyaeDAFEFEIiC7kddoGfe6cgkj90=w408-h272-k-no,,11am–11pm,11am–11pm,11am–11pm,11am–11pm,11am–12am,11am–12am,11am–11pm,"https://www.google.com/maps/place/The+Pump+House/@51.4483205,-2.6268054,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dca1707c217:0x667025baba767b68!8m2!3d51.4483205!4d-2.6180507?hl=en",The Pump House51.4483205-2.6180507
bs2,218,The River Grille,"Prince St, Bristol BS1 4QF",,Prince St,Bristol,BS1 4QF,FC23+56 Bristol,doylecollection.com,0117 923 0333,data_protection@doylecollection.com,51.450466,-2.596979,No,Yes,British restaurant,4.4,126 reviews,,108+ Photos,https://lh5.googleusercontent.com/p/AF1QipMVOnW0d9TQbiZMft4iNQKDU506DepnzzsxUFJu=w408-h272-k-no,,6:30am–10pm,6:30am–10pm,6:30am–10pm,6:30am–10pm,6:30am–10:30pm,6:30am–10:30pm,6:30am–10pm,"https://www.google.com/maps/place/The+River+Grille/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd671fa5409:0xc65dfbd8a7c40ddf!8m2!3d51.450466!4d-2.596979?hl=en",The River Grille51.450466-2.596979
bs2,217,The Clifton,"16 Regent St, Bristol BS8 4HG",,16 Regent St,Bristol,BS8 4HG,F93J+JQ Bristol,thecliftonbristol.co.uk,0117 974 1967,,51.4541168,-2.618076,No,Yes,Gastropub,4.2,178 reviews,,73+ Photos,https://lh5.googleusercontent.com/p/AF1QipOXkOowkIQELv2QUPgYQ4jdNMBf7BM61h2DZuqQ=w413-h200-k-no,,12–11pm,12pm–12am,12pm–12am,12pm–12am,12pm–12am,12pm–12am,12–11pm,"https://www.google.com/maps/place/The+Clifton/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dc877f7d651:0x1cb2a7001bdf6e1f!8m2!3d51.4541168!4d-2.618076?hl=en",The Clifton51.4541168-2.618076
bs2,216,Chilli Daddy Restaurant,"88a Queens Rd, Bristol BS8 1SA",,88a Queens Rd,Bristol,BS8 1SA,F95Q+7X Bristol,chillidaddy.com,07914 538539,info@chillidaddy.com,51.4581495,-2.6100864,No,Yes,Chinese restaurant,4.6,311 reviews,,102+ Photos,https://lh5.googleusercontent.com/p/AF1QipO3t2MxfFrSJEKac4Gvp8B3F3Fx3O_6gEIU8G-P=w408-h306-k-no,,11am–9pm,11am–9pm,11am–9pm,11am–9pm,11am–9pm,11am–9pm,11am–8pm,"https://www.google.com/maps/place/Chilli+Daddy+Restaurant/@51.4581495,-2.6188411,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e7838a99fcd:0x50b0edbb7314ef0c!8m2!3d51.4581495!4d-2.6100864?hl=en",Chilli Daddy Restaurant51.4581495-2.6100864
bs2,215,Aqua Italia,"Welsh Back, Bristol BS1 4RR",,Welsh Back,Bristol,BS1 4RR,FC34+2V Bristol,aqua-restaurant.com,0117 915 6060,info@aqua-restaurant.com,51.4526147,-2.5927994,No,Yes,Italian restaurant,3.9,375 reviews,,148+ Photos,https://lh5.googleusercontent.com/p/AF1QipO7vtOSZbP4sEL9jBLamjahongDNhWi2sU4S2Uc=w408-h544-k-no,,9:30am–10pm,9:30am–10pm,9:30am–10pm,9:30am–10pm,9:30am–10:30pm,9:30am–10:30pm,9:30am–10pm,"https://www.google.com/maps/place/Aqua+Italia/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e78544848fb:0x4eb528a6b8a7a06f!8m2!3d51.4526147!4d-2.5927994?hl=en",Aqua Italia51.4526147-2.5927994
bs2,214,Smoke & Mirrors,"8 Denmark St, Bristol BS1 5DQ",,8 Denmark St,Bristol,BS1 5DQ,FC32+5F Bristol,smokeandmirrorsbar.co.uk,0117 929 0362,info@smokeandmirrorsbar.co.uk,51.4529218,-2.5988428,Yes,Yes,Pub,4.4,323 reviews,,264+ Photos,https://lh5.googleusercontent.com/p/AF1QipMdbC4jjTaKa4URpFiILfLqL3ey7STDg01--B4d=w408-h272-k-no,,4pm–12am,4pm–12am,3pm–12am,3pm–12am,3pm–12am,3pm–12am,Closed,"https://www.google.com/maps/place/Smoke+%26+Mirrors/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd708036097:0x3dd00297cfa806ab!8m2!3d51.4529218!4d-2.5988428?hl=en",Smoke & Mirrors51.4529218-2.5988428
bs2,213,"The Coconut Tree Bristol, Clifton Triangle","2 Byron Pl, Bristol BS8 1JT",,2 Byron Pl,Bristol,BS8 1JT,F94V+94 Bristol,thecoconut-tree.com,0117 929 3120,info@thecoconut-tree.com,51.4559168,-2.6072108,No,Yes,Sri Lankan restaurant,4.5,65 reviews,,23 Photos,https://lh5.googleusercontent.com/p/AF1QipPGVeqrRF2r656L4UazBYm7FpE-R8u0tZteE-An=w408-h594-k-no,,12–11pm,12–11pm,12–11pm,12pm–12am,12pm–1am,12pm–1am,12–11pm,"https://www.google.com/maps/place/The+Coconut+Tree+Bristol,+Clifton+Triangle/@51.4559168,-2.6159655,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718d06cc242a5d:0x32948ffb2f84b4c9!8m2!3d51.4559168!4d-2.6072108?hl=en","The Coconut Tree Bristol, Clifton Triangle51.4559168-2.6072108"
bs2,212,BBB - Bristol Bear Bar,"2 West St, Bristol BS2 0BH",,2 West St,Bristol,BS2 0BH,FC4C+H4 Bristol,bristolbears.co.uk,,,51.4564108,-2.57966,No,Yes,Gay bar,4.2,34 reviews,,41 Photos,https://lh5.googleusercontent.com/p/AF1QipMeO7h048nfE2pMxoL2VnKu2Udyo_7viCOA8aPm=w408-h306-k-no,,Closed,7–11:30pm,7–11:30pm,7–11:30pm,7pm–2am,7pm–2am,5–11pm,"https://www.google.com/maps/place/BBB+-+Bristol+Bear+Bar/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e6f6d5bf40d:0x6fc425cfb42bf5a3!8m2!3d51.4564108!4d-2.57966?hl=en",BBB - Bristol Bear Bar51.4564108-2.57966
bs2,211,Ramen Ya,"61 Gloucester Rd, Bristol BS7 8AD",,61 Gloucester Rd,Bristol,BS7 8AD,FCC5+M4 Bristol,ramenya.co.uk,0117 944 6348,,51.471705,-2.592154,Yes,Yes,Restaurant,4.6,240 reviews,,130+ Photos,https://lh5.googleusercontent.com/p/AF1QipNU8Xvd3I-TOhIZveHupU6TpLQ2JWQSl0XopUql=w408-h200-k-no-pi-0-ya219.73131-ro0-fo100,,Closed,Closed,5:30–10pm,5:30–10pm,5:30–10pm,12–10pm,12–10pm,"https://www.google.com/maps/place/Ramen+Ya/@51.471705,-2.6009087,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e094689f269:0xa0f53648c93d519!8m2!3d51.471705!4d-2.592154?hl=en",Ramen Ya51.471705-2.592154
bs2,210,Revolution Bristol,"Old Fish Market, St Nicholas St, Bristol BS1 1UA",Old Fish Market,St Nicholas St,Bristol,BS1 1UA,FC34+FF Bristol,revolution-bars.co.uk,0117 930 4335,,51.4536868,-2.5937846,Yes,Yes,Cocktail bar,4,441 reviews,,255+ Photos,https://lh5.googleusercontent.com/p/AF1QipM2sFj6a8i1u1xzLwEosyUl4zvoe1N7CJnx0atC=w408-h272-k-no,,12pm–12am,12pm–12am,12pm–12am,12pm–1am,12pm–2am,12pm–2am,12pm–12am,"https://www.google.com/maps/place/Revolution+Bristol/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718e7839adea1b:0x44e32a2c9ed2e465!8m2!3d51.4536868!4d-2.5937846?hl=en",Revolution Bristol51.4536868-2.5937846
bs2,209,BOX-E,"10, Cargo 1, Bristol BS1 6WP",10,Cargo 1,Bristol,BS1 6WP,CCW2+Q9 Bristol,boxebristol.com,,hello@boxebristol.com,51.4469278,-2.5990637,No,No,Restaurant,4.8,151 reviews,,124+ Photos,https://lh5.googleusercontent.com/p/AF1QipOIfeGIKRLehoVvEqrMSlsQWLNPlwGGm2ZfSGXq=w408-h544-k-no,,Closed,6–9:30pm,"12–3pm, 6–9:30pm","12–3pm, 6–9:30pm","12–3pm, 6–9:30pm","12–3pm, 6–9:30pm",Closed,"https://www.google.com/maps/place/BOX-E/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd458e0d6e7:0x65b0c19b6967386!8m2!3d51.4469278!4d-2.5990637?hl=en",BOX-E51.4469278-2.5990637
bs2,208,Slug & Lettuce Bristol Harbourside,"Explore Ln, Bristol BS1 5TY",,Explore Ln,Bristol,BS1 5TY,C9XX+WC Bristol,slugandlettuce.co.uk,0117 925 3993,slugandlettuce.bath@stonegatepubs.com,51.4497817,-2.601469,Yes,Yes,Cocktail bar,3.6,653 reviews,,230+ Photos,https://lh5.googleusercontent.com/p/AF1QipOkgqwZaHYQt8lZYVy1wrTEj3rCdh_Grn8ng7OD=w408-h350-k-no,,10am–11pm,10am–11pm,10am–11pm,10am–11pm,10am–1am,10am–1am,11am–11pm,"https://www.google.com/maps/place/Slug+%26+Lettuce+Bristol+Harbourside/@51.4561479,-2.5811698,15z/data=!4m9!1m3!2m2!1sbs2+restaurants!6e5!3m4!1s0x48718dd6b32149c3:0x242a5553b5e7d123!8m2!3d51.4497817!4d-2.601469?hl=en",Slug & Lettuce Bristol Harbourside51.4497817-2.601469
