unique_key,gmap_category,Name,Full_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL
The Old Manor House Hotel51.4177036-2.5004998,hotel,The Old Manor House Hotel,"5 Bristol Rd, Keynsham, Bristol BS31 2BA",Keynsham,Bristol,BS31 2BA,"CF9X+3R Keynsham, Bristol",oldmanorhousehotel.co.uk,0117 986 3107,,51.4177036,-2.5004998,No,Yes,,4.3,101 reviews,"Restaurant, Bar",150+ Photos,//lh6.googleusercontent.com/proxy/_zs9tiKmJaE9kB-CSuEoksMI0s5lZi7SzCzypFQamMZ39TjMIOcm72OOzT_jAoRq8sXIrRo5wsySYzZ5qzTDDfWvoKbZiDD5DmfM0-WrqaHJpoNLgdf-D8uCDUZt2o-udCFs3XCn-osoAALJB5cHky0wdRF1FZ0=w408-h223-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Old+Manor+House+Hotel/@51.4177036,-2.5092545,15z/data=!4m8!1m2!2m1!1sbs14+hotels!3m4!1s0x48718f5bd46059df:0x59b659978bac94ec!8m2!3d51.4177036!4d-2.5004998?hl=en"
The Crown Inn Keynsham51.418144-2.505556,hotel,The Crown Inn Keynsham,"63 Bristol Rd, Keynsham, Bristol BS31 2WA",Keynsham,Bristol,BS31 2WA,"CF9V+7Q Keynsham, Bristol",bluntbars.co.uk,0117 914 9075,info@togo-foods.co.uk,51.418144,-2.505556,No,Yes,,4.2,129 reviews,"Child friendly, Restaurant, Bar",153+ Photos,//lh5.googleusercontent.com/proxy/iV3Ssa8Hmzo_g8ANdQ4RFrdkrKj8H5A5IoXWCRni5xn4dg6qdLfkoofQ9Lfht53PR3z2OZiQ9mSwIQmHHa46O29eHb6W8tMl_rL1tSOmc0McdJ4XcjyWjoIA81DJRkFITrl7rjLyZ-hTvpo3zTUbs2XcRKMhpQ=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Crown+Inn+Keynsham/@51.418144,-2.5143107,15z/data=!4m8!1m2!2m1!1sbs14+hotels!3m4!1s0x48718f5b308a131b:0x79c3e4de5607fa50!8m2!3d51.418144!4d-2.505556?hl=en"
Royal Grosvenor Hotel51.350444-2.98192,hotel,Royal Grosvenor Hotel,"Grosvenor Flats, 3-5 Knightstone Rd, Weston-super-Mare BS23 2AH",3-5 Knightstone Rd,Weston-super-Mare,BS23 2AH,9229+56 Weston-super-Mare,,01934 628147,,51.350444,-2.98192,No,No,,4.1,169 reviews,"Free Wi-Fi, Free breakfast, Free parking",190+ Photos,//lh5.googleusercontent.com/proxy/0Dr767rXSytLfSrBgVunftfzW9I-6IJ0Ovi9aWtxhwXemAr8H2TrmwMHydgcWBW8EUSyRhqloJRItYtjZqxfk0pz9sOTDzmQpAmrxTijxb1hAhttlI6n1o-3M_Fneb1MHwnLggp83_2RUyPULpvIWwnjSe7o5g=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Royal+Grosvenor+Hotel/@51.5438367,-2.7200109,10z/data=!4m13!1m5!2m4!1sbs19+hotels!5m2!5m1!1s2019-04-09!3m6!1s0x4871fed5781cfc6f:0x8e713b9ddc6cc644!5m1!1s2019-04-09!8m2!3d51.350444!4d-2.98192?hl=en"
Webbington Hotel & Spa51.296034-2.887001,hotel,Webbington Hotel & Spa,Loxton BS26 2HU,Loxton BS26 2HU,Loxton,BS26 2HU,"74W7+C5 Webbington, Axbridge",webbingtonhotelandspa.co.uk,01934 750100,info@webbingtonhotelandspa.co.uk,51.296034,-2.887001,No,Yes,,4,420 reviews,"Laundry service, Room service, Child friendly, Restaurant",482+ Photos,https://lh5.googleusercontent.com/p/AF1QipOSAXjc9zWqWW03SFI1sVWTWLg7XkfMfZRYTjNn=w408-h273-k-no,,,,,,,,,"https://www.google.com/maps/place/Webbington+Hotel+%26+Spa/@51.5438367,-2.7200109,10z/data=!4m13!1m5!2m4!1sbs19+hotels!5m2!5m1!1s2019-04-09!3m6!1s0x487202b0ca1330b9:0xfc128289a2c78865!5m1!1s2019-04-09!8m2!3d51.296034!4d-2.887001?hl=en"
The Langley Arms51.4940221-2.4809428,hotel,The Langley Arms,"Guest Ave, Emersons Green, Bristol BS16 7GA",Emersons Green,Bristol,BS16 7GA,"FGV9+JJ Emersons Green, Bristol",thelangleyarms.co.uk,0117 957 3512,,51.4940221,-2.4809428,No,Yes,,4,209 reviews,"Free Wi-Fi, Free breakfast, Free parking",143+ Photos,https://lh5.googleusercontent.com/p/AF1QipNThtYomVj9KEtfcSscLtr73uaEsfp4nRAZ_ZPc=w408-h201-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Langley+Arms/@51.5438367,-2.7200109,10z/data=!4m13!1m5!2m4!1sbs19+hotels!5m2!5m1!1s2019-04-09!3m6!1s0x48719ab6a85adac1:0x787893d277a2fd87!5m1!1s2019-04-09!8m2!3d51.4940221!4d-2.4809428?hl=en"
Premier Inn Weston-Super-Mare East51.343953-2.949273,hotel,Premier Inn Weston-Super-Mare East,"Hutton Moor Rd, Weston-super-Mare BS22 8LY",Hutton Moor Rd,Weston-super-Mare,BS22 8LY,83V2+H7 Weston-super-Mare,premierinn.com,0871 527 9156,,51.343953,-2.949273,No,Yes,,4,445 reviews,"Free Wi-Fi, Free parking",152+ Photos,https://lh5.googleusercontent.com/p/AF1QipNaiMtWSnfF2hdNIV2XG_sJasMCaqo0kTTfDKGi=w408-h614-k-no,,,,,,,,,"https://www.google.com/maps/place/Premier+Inn+Weston-Super-Mare+East/@51.5438367,-2.7200109,10z/data=!4m13!1m5!2m4!1sbs19+hotels!5m2!5m1!1s2019-04-09!3m6!1s0x4871f8e45aa0a1f9:0x36cff79d27a46e68!5m1!1s2019-04-09!8m2!3d51.343953!4d-2.949273?hl=en"
Double Tree by Hilton Cadbury House51.3814743-2.8066251,hotel,Double Tree by Hilton Cadbury House,"Frost Hill, Congresbury, Bristol BS49 5AD",Congresbury,Bristol,BS49 5AD,"95JV+H8 Yatton, Bristol",cadburyhotelbristol.co.uk,01934 834343,info@cadburyhouse.com,51.3814743,-2.8066251,Yes,Yes,,4.2,720 reviews,"Free Wi-Fi, Free parking, Indoor Pool, Air-conditioned, Laundry service",1177+ Photos,https://lh5.googleusercontent.com/p/AF1QipP7EI7uNBdX_PSWVIt6TDpDgx5m-ohOAQpwjuEL=w408-h272-k-no,,,,,,,,,"https://www.google.com/maps/place/Double+Tree+by+Hilton+Cadbury+House/@51.5438367,-2.7200109,10z/data=!4m13!1m5!2m4!1sbs19+hotels!5m2!5m1!1s2019-04-09!3m6!1s0x4871f6c74ea8b97b:0xd8c79fa6deff4c6!5m1!1s2019-04-09!8m2!3d51.3814743!4d-2.8066251?hl=en"
Bath Arms Hotel51.2757071-2.7771622,hotel,Bath Arms Hotel,"Bath St, Cheddar BS27 3AA",Bath St,Cheddar,BS27 3AA,76GF+74 Cheddar,batharms.com,01934 742425,info@batharms.com,51.2757071,-2.7771622,No,Yes,,4.4,469 reviews,"Free Wi-Fi, Free parking",248+ Photos,https://lh5.googleusercontent.com/p/AF1QipPOMCJYfyCCrfP5Qy6k7iBi3ChUggQ7SJGxqgxT=w408-h408-k-no,,,,,,,,,"https://www.google.com/maps/place/Bath+Arms+Hotel/@51.5438367,-2.7200109,10z/data=!4m13!1m5!2m4!1sbs19+hotels!5m2!5m1!1s2019-04-09!3m6!1s0x48721dd5bcd341db:0x514479c9d3c21f10!5m1!1s2019-04-09!8m2!3d51.2757071!4d-2.7771622?hl=en"
Number 1451.5249606-2.545441,hotel,Number 14,"14 Watch Elm Cl, Bradley Stoke, Bristol BS32 8AN",Bradley Stoke,Bristol,BS32 8AN,"GFF3+XR Bradley Stoke, Bristol",bristol-bandb.co.uk,0117 969 1798,loiscoulson@ymail.com,51.5249606,-2.545441,No,Yes,,5,2 reviews,,6 Photos,https://lh5.googleusercontent.com/p/AF1QipOyl1OpeZr2Ddn1kzLn_gjmCeWdRLQAUQTOwbsP=w408-h287-k-no,,,,,,,,,"https://www.google.com/maps/place/Number+14/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x48719051349c7263:0x5ea7f1cc288770c1!5m1!1s2019-04-09!8m2!3d51.5249606!4d-2.545441?hl=en"
The Old Farmhouse51.3824407-2.662038,hotel,The Old Farmhouse,"14 High St, Winford, Bristol BS40 8EH",Winford,Bristol,BS40 8EH,"98JQ+X5 Winford, Bristol",,07780 471571,,51.3824407,-2.662038,No,No,,4.4,16 reviews,Child friendly,38 Photos,//lh4.googleusercontent.com/proxy/1Zy7wrZ_hfdVnAyHy23HGTTXpbQG3oQSa5WC4eqIMni5PQI7HNuIcQXxnu20v5l7HlRhWhFFjvzv66t2KEskq-0vBXJJ74yVMM7_6i8dGeyFSqFAKLcIDOXvXrtGaSZVfKjMc3Dq8hFg4c9Iyv0j-sj0JygWEQ=w408-h326-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Old+Farmhouse/@51.3824407,-2.7320758,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x48718b6a629c1a99:0x287d03f3992f76ee!5m1!1s2019-04-09!8m2!3d51.3824407!4d-2.662038?hl=en"
High Winford B&B51.3875653-2.6657902,hotel,High Winford B&B,"17 Walton Cres, Winford, Bristol BS40 8DD",Winford,Bristol,BS40 8DD,"98QM+2M Winford, Bristol",high-winford-bb.business.site,,,51.3875653,-2.6657902,No,Yes,,4.5,4 reviews,,21 Photos,https://lh5.googleusercontent.com/p/AF1QipPcFnE5cE6xDf1jH0L7Qz1ws8D8EHsXPQnc-wmD=w408-h271-k-no,,,,,,,,,"https://www.google.com/maps/place/High+Winford+B%26B/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x48718b4254f5058f:0xfd9ac139b7ae76d8!5m1!1s2019-04-09!8m2!3d51.3875653!4d-2.6657902?hl=en"
Bishops Farm Studio Guest Accomodation51.3894743-2.7927953,hotel,Bishops Farm Studio Guest Accomodation,"Bishops Farm, Bishops road, Claverham, Claverham, Bristol BS49 4NF",Claverham,Bristol,BS49 4NF,"96Q4+QV Claverham, Bristol",bishopsfarmstudio.co.uk,07794 904973,info@bishopsfarmstudio.co.uk,51.3894743,-2.7927953,No,Yes,,4.9,7 reviews,,35 Photos,https://lh5.googleusercontent.com/p/AF1QipPYsEPsRZR33dmL4Os_Fw0iTmKogFm9uE5t4HVQ=w408-h271-k-no,,,,,,,,,"https://www.google.com/maps/place/Bishops+Farm+Studio+Guest+Accomodation/@51.3894743,-2.8628331,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f6aedd1a79fd:0xbd50c6cbb04263c8!5m1!1s2019-04-09!8m2!3d51.3894743!4d-2.7927953?hl=en"
Aanbevole Guest House51.389325-2.712861,hotel,Aanbevole Guest House,"Old Farm Downside Road, Bristol BS48 3DN",Old Farm Downside Road,Bristol,BS48 3DN,"97QP+PV Downside, Bristol",aanbevole.com,01275 474745,,51.389325,-2.712861,No,No,,4,2 reviews,"Free Wi-Fi, Paid parking, Airport shuttle, Smoke-free",,//geo1.ggpht.com/cbk?panoid=AbtyTBYyeFRSN6dB28Bx4g&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=2.2268236&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Aanbevole+Guest+House/@51.389325,-2.7828988,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f498006c095b:0x8a6055238d394c67!5m1!1s2019-04-09!8m2!3d51.389325!4d-2.712861?hl=en"
Yew Tree Cottage51.3921239-2.6973357,hotel,Yew Tree Cottage,"Potters Hill, Felton BS40 9XB",Potters Hill,Felton,BS40 9XB,"98R3+R3 Potters Hill, Bristol",yewtreecottage-bb.co.uk,01275 474289,,51.3921239,-2.6973357,No,No,,4.6,10 reviews,Bar,,//geo0.ggpht.com/cbk?panoid=4D7sjcD21SUFedhwVTbGZw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=290.1991&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Yew+Tree+Cottage/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f4aef8a7e055:0x7efd0d62cad9e597!5m1!1s2019-04-09!8m2!3d51.3921239!4d-2.6973357?hl=en"
Acorns51.3907228-2.7128363,hotel,Acorns,"Acorns Old Farm, Downside Rd, Backwell, Bristol BS48 3DN",Backwell,Bristol,BS48 3DN,"97RP+7V Downside, Bristol",acornsbristol.com,01275 474745,bookings@acornsbristol.com,51.3907228,-2.7128363,No,Yes,,4.5,56 reviews,,57+ Photos,https://lh5.googleusercontent.com/p/AF1QipOKCIdf8eSwFg9-k8ooRYTxqFrc9dARUQMtRqnK=w408-h228-k-no,,,,,,,,,"https://www.google.com/maps/place/Acorns/@51.3907228,-2.7828741,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f498007b8307:0x95dddaf8817997bc!5m1!1s2019-04-09!8m2!3d51.3907228!4d-2.7128363?hl=en"
White Gates51.3904519-2.6864482,hotel,White Gates,"1 Currells Ln, Felton, Bristol BS40 9XG",Felton,Bristol,BS40 9XG,"98R7+5C Felton, Bristol",whitegatesbedandbreakfast.co.uk,01275 472885,,51.3904519,-2.6864482,No,No,,4,10 reviews,Child friendly,,//geo0.ggpht.com/cbk?panoid=9oYIsLjODbUCj587yWniDw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=230.25905&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/White+Gates/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x48718b52c778dcc3:0xf1942c3784730f5b!5m1!1s2019-04-09!8m2!3d51.3904519!4d-2.6864482?hl=en"
Greenditch Farm Bed and Breakfast51.4043723-2.6527916,hotel,Greenditch Farm Bed and Breakfast,"Greenditch Farm, Dundry Ln, Dundry, Bristol BS41 8JQ",Dundry,Bristol,BS41 8JQ,"C83W+PV Barrow Gurney, Bristol",greenditchfarmbandb.co.uk,01275 472854,enquiries@greenditchfarmbandb.co.uk,51.4043723,-2.6527916,No,Yes,,4.7,3 reviews,Child friendly,2 Photos,https://lh5.googleusercontent.com/p/AF1QipO0Dztpeix_L2P9c0kAtBxVRHr7yyFKzuGnF5ts=w408-h229-k-no,,,,,,,,,"https://www.google.com/maps/place/Greenditch+Farm+Bed+and+Breakfast/@51.4043723,-2.7228294,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x48718c833117a0b5:0x9d8fe7158e9d8b0f!5m1!1s2019-04-09!8m2!3d51.4043723!4d-2.6527916?hl=en"
Foxholes B & B51.3915633-2.7087766,hotel,Foxholes B & B,"Hyatts Wood Road, Oatfield, Backwell, Bristol BS48 3EE",Backwell,Bristol,BS48 3EE,"97RR+JF Felton, Bristol",,07514 652546,,51.3915633,-2.7087766,No,Yes,,5,1 review,"Free breakfast, Bar, Smoke-free",20 Photos,//lh5.googleusercontent.com/proxy/fVYIJvh5IylrO6GLoe3SCwAMT_Zv8w57kCZ78mi2DMBxoPZANIy-FYhv-pZA907dJJQxkfQqWhWU0NpUKat-KxqvgajHj07o5cS5cj_b7lzUQctmpQPoIANCYO9T-uQ6CcKrf8ak_1w_C1KjQinzoCnxamP03g=w408-h544-k-no,,,,,,,,,"https://www.google.com/maps/place/Foxholes+B+%26+B/@51.3915633,-2.7788144,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f4a256d7b86d:0xfde64064682937b0!5m1!1s2019-04-09!8m2!3d51.3915633!4d-2.7087766?hl=en"
Stoneleigh Bed & Breakfast51.3902534-2.7180374,hotel,Stoneleigh Bed & Breakfast,"Downside Rd, Backwell, Bristol BS48 3DN",Backwell,Bristol,BS48 3DN,"97RJ+4Q Downside, Bristol",stoneleigh-bristol.co.uk,07974 440676,stoneleighbb@btinternet.com,51.3902534,-2.7180374,No,Yes,,5,1 review,Bar,,//geo2.ggpht.com/cbk?panoid=C92jQmqSSHuB4zfXjNboLg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=356.33673&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Stoneleigh+Bed+%26+Breakfast/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f499eca2379f:0x2e86be081eed22a7!5m1!1s2019-04-09!8m2!3d51.3902534!4d-2.7180374?hl=en"
Inn Lodge51.3998128-2.8380725,hotel,Inn Lodge,"Smiths Forge, N End Rd, Yatton, Bristol BS49 4AU",Yatton,Bristol,BS49 4AU,,oldenglishinns.co.uk,01934 839100,,51.3998128,-2.8380725,No,No,,4,1 review,"Restaurant, Bar",7 Photos,https://lh5.googleusercontent.com/p/AF1QipO_H2MbcTMQS5J7RCUjRhfQLqZmZVwxi6f7rbCN=w408-h229-k-no,,,,,,,,,"https://www.google.com/maps/place/Inn+Lodge/@51.3998128,-2.9081103,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f0d58501312b:0xf266d524eb9c8973!5m1!1s2019-04-09!8m2!3d51.3998128!4d-2.8380725?hl=en"
Tanda51.3900412-2.7220071,hotel,Tanda,"Downside Rd, Bristol BS48 3DJ",Downside Rd,Bristol,BS48 3DJ,"97RH+25 Downside, Bristol",tandabandb.co.uk,01275 472565,mail@tandabandb.co.uk,51.3900412,-2.7220071,No,Yes,,4.3,9 reviews,Child friendly,,//geo1.ggpht.com/cbk?panoid=h-uhiGx2bbVXCAwANSRhmQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=192.83934&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Tanda/@51.3900412,-2.7920449,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f49a6ff33941:0x9f79ad99efed462c!5m1!1s2019-04-09!8m2!3d51.3900412!4d-2.7220071?hl=en"
Coombe Dale Accommodation51.3883741-2.7051258,hotel,Coombe Dale Accommodation,"1 Coombe Dale, Backwell, Bristol BS48 3EN",Backwell,Bristol,BS48 3EN,"97QV+8W Lulsgate Bottom, Bristol",coombedale.co.uk,01275 475121,,51.3883741,-2.7051258,No,Yes,,4.8,12 reviews,"Child friendly, Bar",28 Photos,https://lh5.googleusercontent.com/p/AF1QipPqVd0PrahNWUkb0H_o-y7KFR1fZd6NV2mIf-OE=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Coombe+Dale+Accommodation/@51.3883741,-2.7751636,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f4bb24d5cc59:0x89019762a656953a!5m1!1s2019-04-09!8m2!3d51.3883741!4d-2.7051258?hl=en"
Newditch Farm51.3931652-2.6966455,hotel,Newditch Farm,"A38, Potters Hill, N.Somerset BS40 9XB",Potters Hill,N.Somerset,BS40 9XB,"98V3+78 Potters Hill, Bristol",newditchfarmbb.co.uk,01275 472398,newditchfarmbb@yahoo.co.uk,51.3931652,-2.6966455,No,Yes,,4.7,36 reviews,"Child friendly, Bar",48 Photos,https://lh5.googleusercontent.com/p/AF1QipNY8bkLRSDeInxazvbyWYfTthWN5o-X88vBRc_h=w408-h229-k-no,,,,,,,,,"https://www.google.com/maps/place/Newditch+Farm/@51.3931652,-2.7666833,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f4aef8a7e055:0x8e93ac77c03c88c4!5m1!1s2019-04-09!8m2!3d51.3931652!4d-2.6966455?hl=en"
Ashdale51.392819-2.731293,hotel,Ashdale,"Downside Rd, Backwell, Bristol BS48 3DQ",Backwell,Bristol,BS48 3DQ,"97V9+4F Downside, Bristol",ashdalebandb.co.uk,01275 472159,Bookings@ashdalebandb.co.uk,51.392819,-2.731293,No,No,,4.8,26 reviews,"Paid parking, Child friendly, Airport shuttle",2 Photos,https://lh5.googleusercontent.com/p/AF1QipPPqL0gKG3c-S7mCt6EQfKUH7xb6NmBizMQto_d=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Ashdale/@51.392819,-2.8013308,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f4841920d85b:0xe6580139172ec596!5m1!1s2019-04-09!8m2!3d51.392819!4d-2.731293?hl=en"
The Old Chaff Mill51.3911014-2.7142057,hotel,The Old Chaff Mill,"Downside Rd, Bristol BS48 3DN",Downside Rd,Bristol,BS48 3DN,"97RP+C8 Downside, Bristol",theoldchaffmill.com,01275 474435,bookings@theoldchaffmill.com,51.3911014,-2.7142057,No,No,,4.6,48 reviews,"Free Wi-Fi, Free breakfast, Free parking",15 Photos,https://lh5.googleusercontent.com/p/AF1QipOQKZIrycvqJs6fVB37way_izS1OcM1Snat7W3g=w408-h231-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Old+Chaff+Mill/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f49835365c4b:0xbb2a57495c4d6047!5m1!1s2019-04-09!8m2!3d51.3911014!4d-2.7142057?hl=en"
Woodlands Guest House51.405526-2.719206,hotel,Woodlands Guest House,"Backwell Hill, Bristol BS48 3EJ",Backwell Hill,Bristol,BS48 3EJ,"C74J+68 Backwell, Bristol",woodlandsguests.co.uk,01275 462231,sue@woodlandsguests.co.uk,51.405526,-2.719206,No,Yes,,4.7,3 reviews,,15 Photos,https://lh5.googleusercontent.com/p/AF1QipOg9GtxDhcqharXbW6oOAgLLN05wW7OOFfPrPZy=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Woodlands+Guest+House/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f366937fb8ed:0x1145fefe85634b98!5m1!1s2019-04-09!8m2!3d51.405526!4d-2.719206?hl=en"
Willow Barn51.384501-2.9138889,hotel,Willow Barn,"Duck Ln, Weston-super-Mare BS22 7RR",Duck Ln,Weston-super-Mare,BS22 7RR,"93MP+RC Wick St Lawrence, Weston-super-Mare",bedandbreakfastinsomerset.co.uk,01934 510702,willowbarn@bedandbreakfastinsomerset.co.uk,51.384501,-2.9138889,No,Yes,,4.9,12 reviews,Child friendly,40 Photos,//lh4.googleusercontent.com/proxy/FgrUvz_JASC3Yrwdqmf-2m_qXv-lC4rM9zOrPtJadJbWn1MbIruBzWh2--_FKorle-Dl515_k3GGXgAn94k0L5AdepuX54ZBS9XvnxqPuBf0tUkJKp9HC5ly_RtHjNl-6o8VxhfkxtkbiN1gjVY5-mvIt5apzQ=w408-h223-k-no,,,,,,,,,"https://www.google.com/maps/place/Willow+Barn/@51.384501,-2.9839267,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f98d86249545:0x3ade62eaf5b03463!5m1!1s2019-04-09!8m2!3d51.384501!4d-2.9138889?hl=en"
The Old Smithy51.4088819-2.7490796,hotel,The Old Smithy,"94 W Town Rd, Backwell, West Town, Bristol BS48 3BE",West Town,Bristol,BS48 3BE,"C752+H9 West Town, Bristol",,07870 598770,,51.4088819,-2.7490796,No,No,,4.8,6 reviews,"Child friendly, Bar",36 Photos,//lh5.googleusercontent.com/proxy/geCfdf40NTFEkB6jl2cNDhkGEQA0Uj97Y7JvrklmbO1OhElGhW21Opa860Ks7gIDtHSXTOIVMMOCO3QivK8e2Nzk8uzNvHa24-ZAFZ4PpVHhyFhFAd6PSBU1OUj3qFwDbi7yYKsDiaGl9r1wCbVKxOFerZNNszw=w408-h223-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Old+Smithy/@51.4088819,-2.8191174,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f3852938b451:0x975892dcbdf8b3a6!5m1!1s2019-04-09!8m2!3d51.4088819!4d-2.7490796?hl=en"
Old Farm51.3907275-2.7128881,hotel,Old Farm,"Downside Rd, Backwell, Bristol BS48 3DN",Backwell,Bristol,BS48 3DN,"97RP+7R Downside, Bristol",oldfarmbristol.com,01275 474745,bookings@oldfarmbristol.com,51.3907275,-2.7128881,No,Yes,,4.6,34 reviews,"Free Wi-Fi, Paid parking",55+ Photos,//lh6.googleusercontent.com/proxy/4KO-Rxhyr1rLdM918XEn02Jf4G-xRQDAhKd7NLIi6EDFemPn-XSejTMr9eT1YHxlBPGFNnE4dPE3ZxHe_WnNk-SJmx_jng3fWdISvEkPNG7GtoJAuJmgwd3Ldh8J8fbz4zjaGZgMZsHt_nFM3tWra-Avszo6eGM=w408-h223-k-no,,,,,,,,,"https://www.google.com/maps/place/Old+Farm/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f498007b8307:0x8336648cd3e622fb!5m1!1s2019-04-09!8m2!3d51.3907275!4d-2.7128881?hl=en"
Snipelands Bed and Breakfast51.4193444-2.7087515,hotel,Snipelands Bed and Breakfast,"Bourton Combe, Flax Bourton, Bristol BS48 3QL",Flax Bourton,Bristol,BS48 3QL,"C79R+PF Flax Bourton, Bristol",snipelandsbedandbreakfast.co.uk,01275 463703,snipelands370@gmail.com,51.4193444,-2.7087515,No,Yes,,5,8 reviews,"Child friendly, Bar",35 Photos,https://lh5.googleusercontent.com/p/AF1QipPwLXFKqRNeatQulSqvBzq-dtYqIKlvLtgdlydJ=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Snipelands+Bed+and+Breakfast/@51.5441495,-2.5098773,12z/data=!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f34739d17b9f:0x4b2382ddbbcf1495!5m1!1s2019-04-09!8m2!3d51.4193444!4d-2.7087515?hl=en"
Clevedon Hall51.4359197-2.8637109,hotel,Clevedon Hall,"Elton Rd, Clevedon BS21 7RH",Elton Rd,Clevedon,BS21 7RH,C4PP+9G Clevedon,clevedonhall.co.uk,01275 795895,response@clevedonhall.co.uk,51.4359197,-2.8637109,Yes,Yes,,4.7,149 reviews,,350+ Photos,https://lh5.googleusercontent.com/p/AF1QipN02Yhckx_3NoFX4DKEG5zO6L4wIA7mpFEJPomG=w476-h200-k-no,,,,,,,,,"https://www.google.com/maps/place/Clevedon+Hall/@51.4359197,-2.9337487,12z/data=!3m1!5s0x4871f0f51ae36a47:0xb3e09090984a8495!4m14!1m6!2m5!1sbs20+hotels!5m2!5m1!1s2019-04-09!6e3!3m6!1s0x4871f0f519531241:0x740aa9d8d1e6242b!5m1!1s2019-04-09!8m2!3d51.4359197!4d-2.8637109?hl=en"
